id,ref_words,wer,name_hits,name_misses,name_fp,punct_tp,punct_fp,punct_fn
u01,16,0.0,1,0,0,0,0,0
u02,14,0.2857142857142857,0,2,0,0,0,0
u03,18,0.16666666666666666,1,1,0,0,0,0
u04,12,0.8333333333333334,0,1,0,0,0,0
u05,15,0.0,1,0,0,0,0,0
u06,41,0.04878048780487805,3,0,1,0,1,0
u07,14,0.07142857142857142,0,1,0,0,0,0
u08,20,0.05,1,1,0,0,0,0
u09,19,0.05263157894736842,0,1,0,0,0,0
u10,17,0.17647058823529413,0,0,0,0,0,1
u11,9,0.0,1,0,0,0,0,0
u12,42,0.07142857142857142,1,1,0,0,1,1
u13,18,0.6666666666666666,0,1,0,0,0,0
u14,74,0.05405405405405406,0,2,0,0,0,0
u15,20,0.0,0,0,0,0,0,0
u16,4,0.25,0,1,0,0,0,0
u17,15,0.6666666666666666,0,1,0,0,0,1
u18,32,0.03125,0,1,0,1,0,0
u19,6,0.16666666666666666,0,1,0,0,0,0
u20,36,0.05555555555555555,3,2,0,0,0,1
u21,16,0.125,0,0,0,0,1,0
u22,5,0.6,0,0,0,0,0,0
u23,50,0.24,0,1,0,1,0,0
u24,8,0.125,0,0,0,0,0,0
u25,27,0.25925925925925924,0,2,0,0,0,0
u26,9,0.0,2,0,0,0,0,0
u27,72,0.027777777777777776,1,1,0,0,0,0
u28,6,0.16666666666666666,0,0,0,0,0,0
u29,36,0.1388888888888889,0,3,0,1,0,0
u30,24,0.08333333333333333,0,0,0,0,0,0
u31,13,0.07692307692307693,0,0,0,0,0,2
u32,20,0.1,0,0,0,0,0,2
u33,29,0.20689655172413793,0,1,0,1,0,1
u34,22,0.13636363636363635,0,1,0,2,0,0
u35,23,0.391304347826087,0,1,0,0,0,2
u36,28,0.07142857142857142,1,0,0,2,0,0
u37,51,0.11764705882352941,0,2,0,3,0,0
u38,47,0.02127659574468085,2,0,0,0,0,3
u39,28,0.14285714285714285,0,2,0,1,0,1
u40,25,0.12,0,1,0,0,0,2
