id,ref_words,wer,name_hits,name_misses,name_fp,punct_tp,punct_fp,punct_fn
u01,16,0.0,1,0,0,0,0,0
u02,14,0.14285714285714285,0,2,0,0,0,0
u03,18,0.05555555555555555,1,1,0,0,0,0
u04,12,0.08333333333333333,0,1,0,0,0,0
u05,15,0.0,1,0,0,0,0,0
u06,41,0.04878048780487805,3,0,1,0,1,0
u07,14,0.07142857142857142,0,1,0,0,0,0
u08,20,0.05,1,1,0,0,0,0
u09,19,0.05263157894736842,0,1,0,0,0,0
u10,17,0.17647058823529413,0,0,0,0,0,1
u11,9,0.0,1,0,0,0,0,0
u12,42,0.09523809523809523,1,1,0,0,0,1
u13,18,0.16666666666666666,0,1,0,0,0,0
u14,74,0.04054054054054054,0,2,0,0,0,0
u15,20,0.0,0,0,0,0,0,0
u16,4,0.0,1,0,0,0,0,0
u17,15,0.06666666666666667,1,0,0,0,0,1
u18,32,0.03125,0,1,0,0,0,1
u19,6,0.16666666666666666,0,1,0,0,0,0
u20,36,0.05555555555555555,3,2,0,1,0,0
u21,16,0.125,0,0,0,0,1,0
u22,5,0.0,0,0,0,0,0,0
u23,50,0.04,0,1,0,0,0,1
u24,8,0.125,0,0,0,0,0,0
u25,27,0.25925925925925924,0,2,0,0,0,0
u26,9,0.0,2,0,0,0,0,0
u27,72,0.013888888888888888,1,1,0,0,0,0
u28,6,0.16666666666666666,0,0,0,0,0,0
u29,36,0.08333333333333333,2,1,0,0,0,1
u30,24,0.08333333333333333,0,0,0,0,0,0
u31,13,0.07692307692307693,0,0,0,0,0,2
u32,20,0.05,0,0,0,2,0,0
u33,29,0.10344827586206896,0,1,0,0,0,2
u34,22,0.09090909090909091,0,1,0,1,0,1
u35,23,0.08695652173913043,1,0,0,1,0,1
u36,28,0.07142857142857142,1,0,0,0,0,2
u37,51,0.058823529411764705,0,2,0,0,0,3
u38,47,0.0,2,0,0,0,0,3
u39,28,0.07142857142857142,0,2,0,0,0,2
u40,25,0.08,0,1,0,0,0,2
