id,ref_words,wer,name_hits,name_misses,name_fp,punct_tp,punct_fp,punct_fn
u01,16,0.0,1,0,0,0,0,0
u02,14,0.0,2,0,0,0,0,0
u03,18,0.1111111111111111,2,0,0,0,0,0
u04,12,0.5833333333333334,0,1,0,0,0,0
u05,15,0.0,1,0,0,0,0,0
u06,41,0.04878048780487805,3,0,1,0,1,0
u07,14,0.0,1,0,0,0,0,0
u08,20,0.0,2,0,0,0,0,0
u09,19,0.0,1,0,0,0,0,0
u10,17,0.23529411764705882,0,0,0,0,0,1
u11,9,0.0,1,0,0,0,0,0
u12,42,0.047619047619047616,2,0,0,0,0,1
u13,18,0.5,0,1,0,0,0,0
u14,74,0.06756756756756757,0,2,0,0,0,0
u15,20,0.0,0,0,0,0,0,0
u16,4,0.25,0,1,0,0,0,0
u17,15,0.6666666666666666,0,1,0,0,0,1
u18,32,0.03125,0,1,0,1,0,0
u19,6,0.0,1,0,0,0,0,0
u20,36,0.05555555555555555,3,2,0,0,0,1
u21,16,0.1875,0,0,0,0,1,0
u22,5,0.8,0,0,0,0,0,0
u23,50,0.08,1,0,0,1,1,0
u24,8,0.125,0,0,0,0,0,0
u25,27,0.2222222222222222,1,1,0,0,0,0
u26,9,0.0,2,0,0,0,0,0
u27,72,0.041666666666666664,1,1,0,0,0,0
u28,6,0.16666666666666666,0,0,0,0,0,0
u29,36,0.05555555555555555,3,0,0,1,0,0
u30,24,0.08333333333333333,0,0,0,0,0,0
u31,13,0.07692307692307693,0,0,0,0,0,2
u32,20,0.1,0,0,0,0,0,2
u33,29,0.1724137931034483,1,0,0,1,0,1
u34,22,0.13636363636363635,0,1,0,2,0,0
u35,23,0.391304347826087,0,1,0,0,0,2
u36,28,0.07142857142857142,1,0,0,2,0,0
u37,51,0.13725490196078433,0,2,0,3,0,0
u38,47,0.06382978723404255,2,0,1,0,0,3
u39,28,0.03571428571428571,1,1,0,1,0,1
u40,25,0.08,1,0,0,0,0,2
